retriever,EM,F1,ROUGE_L,Semantic_sim,generator,prompt_variant,split
dense,0.0,0.3230495807727261,0.2780282245959309,0.904509880326011,Qwen3-8B,concise,test
tfidf,0.0,0.2887066276730003,0.2335605290540133,0.9058878123760224,Qwen3-8B,concise,test
bm25,0.0,0.2880464351241501,0.2482527954036644,0.9036925435066224,Qwen3-8B,concise,test
dense,0.0,0.1714151455764115,0.1372768401943374,0.8567491905255751,mT0-small,-,test
tfidf,0.0,0.1495715802680784,0.1225628198182685,0.8611125566742637,mT0-small,-,test
bm25,0.0,0.1385752121151487,0.1125112053850968,0.8589869900183245,mT0-small,-,test
tfidf,0.0,0.0917168230546888,0.0730553488031524,,mT5-base (gold),-,validation
dense,0.0,0.0799569609305298,0.0740045799781488,,mT5-base (gold),-,validation
bm25,0.0,0.0788720006229816,0.0686153727192949,,mT5-base (gold),-,validation
